id,title,price,year,mileage,url,model,scrape_date,scrape_timestamp,date,price_change,price_change_percent,internal_id
lexus-lc-bezwypadkowy-faktura-vat-23-zjawiskowy-ID6GWjop.html,Lexus LC 500h Prestige,289000,2017,126000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-bezwypadkowy-faktura-vat-23-zjawiskowy-ID6GWjop.html,lexus-lc,2025-05-29T00:12:07.438381,1748470327,2025-05-29,0,0,19
lexus-lc-2018-lexus-lc-500-benzyna-tyl-naped-automat-ID6HmsIh.html,Lexus LC,125000,2018,117504,https://www.otomoto.pl/osobowe/oferta/lexus-lc-2018-lexus-lc-500-benzyna-tyl-naped-automat-ID6HmsIh.html,lexus-lc,2025-05-29T00:12:08.139321,1748470328,2025-05-29,0,0,20
lexus-lc-500h-v6-359-km-salon-pl-bezwypadkowy-stan-idealny-fv23-ID6Hbu6V.html,Lexus LC,365310,2019,57094,https://www.otomoto.pl/osobowe/oferta/lexus-lc-500h-v6-359-km-salon-pl-bezwypadkowy-stan-idealny-fv23-ID6Hbu6V.html,lexus-lc,2025-05-29T00:12:09.174873,1748470329,2025-05-29,0,0,21
lexus-lc-5-0-v8-cabrio-ID6HmqCb.html,Lexus LC 500 Club Edition,460000,2021,16800,https://www.otomoto.pl/osobowe/oferta/lexus-lc-5-0-v8-cabrio-ID6HmqCb.html,lexus-lc,2025-05-29T00:12:10.162411,1748470330,2025-05-29,0,0,22
lexus-lc-lc500-cabrio-carbon-v8-ID6HfV4F.html,Lexus LC 500 Carbon,525000,2022,20000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lc500-cabrio-carbon-v8-ID6HfV4F.html,lexus-lc,2025-05-29T00:12:11.309147,1748470331,2025-05-29,0,0,23
lexus-lc-lc-500h-prestige-pierwszy-wlasc-super-stan-dodatkowe-kola-zimowe-ID6GuODd.html,Lexus LC 500h Prestige,359900,2017,25500,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lc-500h-prestige-pierwszy-wlasc-super-stan-dodatkowe-kola-zimowe-ID6GuODd.html,lexus-lc,2025-05-29T00:12:12.103027,1748470332,2025-05-29,0,0,24
lexus-lc-500-superturismo-salon-polska-aso-vat-23-lexus-leszno-ID6He4S3.html,Lexus LC 500 Superturismo,395000,2018,33780,https://www.otomoto.pl/osobowe/oferta/lexus-lc-500-superturismo-salon-polska-aso-vat-23-lexus-leszno-ID6He4S3.html,lexus-lc,2025-05-29T00:12:12.669382,1748470332,2025-05-29,0,0,25
lexus-lc-lexus-lc500h-superturismo-fv23-salon-pl-serwis-aso-ID6H6bzi.html,Lexus LC 500h Superturismo,339900,2017,85000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lexus-lc500h-superturismo-fv23-salon-pl-serwis-aso-ID6H6bzi.html,lexus-lc,2025-05-29T00:12:13.607045,1748470333,2025-05-29,0,0,26
lexus-lc-lexus-lc500-cv-ID6GN51S.html,Lexus LC 500 Superturismo,779999,2024,5,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lexus-lc500-cv-ID6GN51S.html,lexus-lc,2025-05-29T00:12:14.542702,1748470334,2025-05-29,0,0,27
lexus-lc-lc-500-ID6GWkT8.html,Lexus LC 500 Prestige,299000,2018,33000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lc-500-ID6GWkT8.html,lexus-lc,2025-05-29T00:12:15.409564,1748470335,2025-05-29,0,0,28
